Switch Plate - GoPro Compatible,,Total Cost,Total Print time (hr),Total filament (g),,,,,,,
Version: V1.0,Last updated: 2024-May-27, $0.63 ,0.00,25,,,,,,,
Commercial Parts,,,,,,,,,,,
"Part type (Electrical. Mechanical, Sanitization, etc)",Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
,,,,, $-   , $-   ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
Switch_Plate_GoPro_Compatible.stl,,1,25, $0.63 ,00:55,,,,,,
,,,, $-   ,,,,,,,
,,,, $-   ,,,,,,,
,,,, $-   ,,,,,,,
,,,Total Print Cost:, $0.63 ,,,,,,,
Tools for Assembly,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
RAM Action Camera Universal Ball Adapter,https://rammount.com/products/rap-b-202u-gop1,,,,,,,,,,
